Region;Product;Sales;Profit;Currency;Customer_ID;Invoice_ID;Description;Transaction_Date
North;Monitor;2920,88;1439,23;Unknown;Daniel;INV5381;Item 7937 - those;2025-03-30
North;Headphones;2437,2;450,95;;Jennifer;INV1474;Item 9331 - win;2024-06-27
East;Monitor;4719,43;1771,26;;Dalton;INV3955;Item 6928 - wrong;2024-06-23
East;Laptop;1563,2;243,38;EUR;Jennifer;INV5477;Item 1298 - particularly;2025-03-14
South;Laptop;;971,31;Unknown;Anthony;INV6062;Item 6940 - side;2024-07-31
North;Laptop;2010,93;572,07;USD;Cristian;INV6567;Item 6060 - attention;2025-04-07
South;Smartphone;4469,04;921,57;EUR;Joshua;INV6751;Item 3953 - only;2024-07-13
North;Monitor;4195,07;-349,42;-;Stephanie;INV1100;Item 4509 - doctor;2024-11-09
North;Laptop;2737,28;;-;Daniel;INV3972;Item 6598 - attack;2024-07-23
West;Tablet;3699,71;1900,27;MXN;John;INV3347;Item 8967 - be;2024-07-19
North;Monitor;4019,35;;USD;Jennifer;INV7566;Item 4145 - total;2024-06-12
South;Monitor;4499,28;;Unknown;Briana;INV2140;Item 4711 - physical;2024-10-29
South;Smartphone;2492,32;-251,92;USD;Nancy;INV3324;Item 3253 - soon;2024-06-12
West;Headphones;1437,38;1406,84;-;Amanda;INV1502;Item 3538 - child;2024-12-03
South;Smartphone;2479,65;1063,79;Unknown;Heidi;INV2503;Item 2264 - eight;2024-10-07
East;Laptop;2005,4;161,62;USD;Luis;INV9691;Item 5846 - yes;2025-04-15
West;Tablet;3377,48;-297,03;;Alex;INV4524;Item 2657 - full;2025-01-19
South;Tablet;4010,9;99,66;EUR;Heidi;INV7163;Item 9317 - front;2024-10-30
South;Laptop;3648,49;879,98;Unknown;Briana;INV7878;Item 9843 - magazine;2024-09-22
East;Tablet;4218,48;-108,67;;Rachel;INV8432;Item 9626 - current;2024-11-26
West;Smartphone;4605,75;521,29;EUR;Matthew;INV6585;Item 1618 - morning;2024-09-16
East;Smartphone;;1223,43;USD;Stephanie;INV3578;Item 6517 - rule;2025-04-11
West;Laptop;4905,54;674,78;Unknown;Michael;INV7062;Item 3147 - both;2025-01-23
West;Tablet;2717,21;;MXN;Austin;INV6105;Item 7172 - rate;2024-12-15
North;Monitor;4543,95;-418,4;MXN;Christopher;INV6314;Item 3527 - how;2024-04-27
South;Headphones;3000,27;220,26;-;Rachel;INV2391;Item 3658 - should;2025-02-05
South;Monitor;3348,7;206,8;;Brenda;INV1861;Item 3962 - into;2024-05-24
North;Smartphone;511,34;1649,02;Unknown;Savannah;INV3549;Item 3712 - region;2025-01-13
East;Smartphone;2200,2;-322,05;;Lisa;INV3579;Item 8170 - together;2024-11-29
North;Smartphone;4347,57;83,56;USD;Nichole;INV1815;Item 1715 - car;2024-12-10
South;Smartphone;990,47;161,39;MXN;Nichole;INV2336;Item 7731 - surface;2024-07-12
South;Headphones;1374,77;1478,12;;Christopher;INV5458;Item 6968 - race;2025-03-13
North;Laptop;1704,03;;-;Caitlyn;INV8259;Item 4891 - three;2024-06-22
North;Smartphone;2328,03;974,47;Unknown;Savannah;INV7947;Item 8277 - number;2024-06-06
North;Tablet;1753,75;1509,76;MXN;John;INV8957;Item 5668 - past;2024-10-08
South;Headphones;4410,24;-5,45;;Bobby;INV8242;Item 8355 - month;2024-11-22
North;Smartphone;1463,46;-213,06;;Elizabeth;INV7785;Item 4833 - discussion;2024-06-01
North;Tablet;4760,9;62,02;Unknown;Lisa;INV5475;Item 9749 - get;2025-02-17
East;Smartphone;2165,67;-127,53;-;Joshua;INV4531;Item 4918 - grow;2024-08-28
North;Laptop;4191,06;164,08;USD;Michael;INV9394;Item 6070 - receive;2024-11-28
South;Headphones;2404,5;-144,41;-;Daniel;INV2864;Item 8684 - investment;2024-10-21
East;Laptop;3770,22;-350,9;USD;Brian;INV6655;Item 4178 - state;2024-07-13
West;Headphones;355,22;1481,57;EUR;Dalton;INV8043;Item 7026 - win;2025-03-05
South;Smartphone;4764,41;987,61;;Austin;INV2816;Item 8218 - line;2025-01-23
South;Smartphone;;1560,6;;Elizabeth;INV5640;Item 8564 - even;2025-01-20
West;Headphones;1198,69;1802,98;MXN;Brenda;INV8972;Item 5616 - whom;2024-06-04
South;Tablet;436,23;597,88;EUR;Cristian;INV9633;Item 7256 - easy;2024-09-16
West;Tablet;;;;Dalton;INV6053;Item 9239 - tough;2024-11-22
West;Smartphone;4790,7;671,74;USD;Candice;INV1744;Item 9641 - great;2024-06-12
South;Smartphone;297,26;260,23;Unknown;Rebecca;INV4612;Item 7859 - trade;2024-10-14
North;Laptop;252,05;506,27;USD;Brenda;INV7475;Item 3655 - term;2024-12-12
North;Smartphone;1311,69;180,62;;Rachel;INV1897;Item 4271 - speak;2024-09-19
West;Headphones;4212,22;849,95;;John;INV1125;Item 3267 - career;2024-10-26
East;Tablet;3144,54;;USD;Caitlyn;INV4349;Item 5096 - movement;2024-05-11
West;Tablet;1268,87;594,4;Unknown;Heidi;INV5938;Item 1854 - benefit;2024-08-20
West;Laptop;2420,45;995,09;EUR;Brenda;INV4460;Item 8873 - bed;2024-11-04
West;Tablet;660,51;1723,56;;Travis;INV3248;Item 7081 - people;2024-08-14
North;Tablet;4744,01;1336,33;MXN;Nichole;INV5186;Item 2680 - catch;2025-02-25
North;Monitor;2378,67;1009,28;USD;Austin;INV5742;Item 9452 - expert;2025-01-10
North;Headphones;1355,59;-435,34;USD;Daniel;INV6375;Item 3042 - garden;2024-07-12
West;Monitor;1907,59;72,31;MXN;Danielle;INV2965;Item 5670 - fund;2024-05-29
East;Tablet;3068,87;1185,75;USD;Regina;INV1126;Item 2374 - end;2024-06-17
North;Laptop;4822,3;1651,29;MXN;Regina;INV9149;Item 3626 - PM;2024-07-08
South;Laptop;3619,95;967,81;MXN;Bobby;INV8055;Item 5469 - agent;2024-09-09
South;Tablet;3911,18;-448,14;MXN;Daniel;INV3878;Item 8361 - over;2024-12-07
South;Smartphone;902,45;1411,9;Unknown;John;INV3116;Item 9410 - own;2024-05-16
West;Monitor;1624,09;1553,55;EUR;Jennifer;INV7229;Item 3414 - discover;2024-09-10
South;Tablet;2935,56;940,62;EUR;Daniel;INV9725;Item 8167 - rest;2024-10-20
West;Laptop;4651,55;1407,77;-;Elizabeth;INV4770;Item 2502 - first;2024-10-03
South;Laptop;2921,4;-62,02;Unknown;Rachel;INV9196;Item 4637 - half;2024-09-26
East;Monitor;4549,33;797,41;-;Kevin;INV6802;Item 8391 - perhaps;2025-03-21
West;Headphones;1939,0;605,57;;Jamie;INV2180;Item 6727 - word;2024-05-12
South;Tablet;4713,21;195,39;EUR;Ronald;INV7505;Item 1436 - civil;2024-10-03
North;Tablet;1071,82;1992,36;EUR;Travis;INV1693;Item 7797 - general;2024-06-04
West;Headphones;3001,28;589,71;EUR;Raymond;INV8147;Item 1872 - again;2024-09-04
North;Monitor;4169,8;1535,61;USD;Savannah;INV1307;Item 7495 - sound;2024-05-17
;;;;;;;;
;;;;;;;;
;;;;;;;;
North;Tablet;1272,3;210,85;Unknown;Dalton;INV7730;Item 2079 - hand;2024-11-02
East;Monitor;4185,25;1836,55;-;Joshua;INV3076;Item 4176 - recently;2024-12-07
West;Tablet;1268,87;594,4;Unknown;Heidi;INV5938;Item 1854 - benefit;2024-08-20
North;Tablet;1071,82;1992,36;EUR;Travis;INV1693;Item 7797 - general;2024-06-04
North;Smartphone;1311,69;180,62;;Rachel;INV1897;Item 4271 - speak;2024-09-19
